,statid,name,statlat,statlong,statreg,walk_score,transit_score,bike_score,dist_creg
71,3049,2nd & Figueroa,34.056969,-118.253593,DTLA,94,100.0,63,0.0146
72,4312,4th & Vermont,34.066990000000004,-118.290878,DTLA,94,81.0,67,0.0259
73,3077,8th & Wall,34.039871000000005,-118.25003799999999,DTLA,95,100.0,82,0.0234
74,4347,Pacific & North Venice,33.984928000000004,-118.46996299999999,Westside,93,55.0,99,0.0411
75,4246,32nd & Figueroa,34.023708,-118.27916699999999,DTLA,93,81.0,100,0.0331
76,4206,California & Lincoln,33.998340999999996,-118.46101399999999,Westside,81,55.0,40,0.0268
77,4322,Venice & Inglewood,34.005871,-118.42916100000001,Westside,87,49.0,78,0.0075
78,3054,Factory Place & Alameda,34.039219,-118.236488,DTLA,87,81.0,73,0.0352
79,4204,Washington & Abbot Kinney,33.988419,-118.45163000000001,Westside,91,57.0,92,0.0253
80,4344,Downtown Santa Monica Expo Line Station,34.014309000000004,-118.49134099999999,Westside,93,82.0,90,0.0555
81,4250,Severance & Adams,34.03017,-118.280952,DTLA,87,82.0,100,0.0279
82,4131,Downtown Harbor,33.738979,-118.27926599999999,Port of LA,10,18.0,55,0.0076
83,3062,3rd & San Pedro,34.047748999999996,-118.243172,DTLA,94,100.0,81,0.0258
84,4205,Venice & Lincoln,33.993771,-118.453667,Westside,91,57.0,79,0.0228
85,4357,CicLAvia Palms Hub,34.028659999999995,-118.410294,Westside,87,70.0,69,0.0329
86,4348,Rose & 7th,34.000881,-118.46891000000001,Westside,93,52.0,96,0.0336
87,4266,28th & Figueroa,34.026291,-118.27768700000001,DTLA,92,87.0,99,0.0302
88,3011,Figueroa & Pico,34.041129999999995,-118.267982,DTLA,85,100.0,85,0.0137
89,4315,Union & 7th,34.054031,-118.27091999999999,DTLA,94,87.0,78,0.003
90,4345,Ocean Front Walk & Navy,33.99556,-118.48155200000001,Westside,92,54.0,95,0.0471
91,4273,Hoover & 32nd,34.025859999999994,-118.284103,DTLA,91,77.0,91,0.0332
92,3065,New High & Ord,34.060558,-118.238327,DTLA,97,100.0,65,0.0302
93,4293,Westlake & 3rd,34.062279,-118.271523,DTLA,93,81.0,58,0.0082
94,4334,Venice & Motor,34.020179999999996,-118.40403,Westside,93,60.0,76,0.0342
95,3040,Wilshire & Witmer,34.05357,-118.26635700000001,DTLA,94,96.0,64,0.0021
96,4211,Pacific & North Venice,33.984928000000004,-118.46996299999999,Westside,93,55.0,99,0.0411
97,4133,Ports O'Call,33.733521,-118.277786,Port of LA,53,43.0,79,0.0125
98,4335,Venice & Hughes,34.023392,-118.39922299999999,Westside,96,60.0,79,0.0399
99,4351,Venice & Lincoln,33.993728999999995,-118.45356000000001,Westside,89,55.0,84,0.0227
100,4330,Bagley & Venice,34.025688,-118.395302,Westside,97,66.0,91,0.0444
101,3025,Grand & Washington,34.03286,-118.268082,DTLA,76,100.0,85,0.022
102,4202,Abbot Kinney & Cadiz,33.991161,-118.46829199999999,Westside,94,55.0,93,0.0364
103,4352,Washington & Abbot Kinney,33.988419,-118.45163000000001,Westside,91,57.0,92,0.0253
104,3013,Anaheim & Avalon,33.779819,-118.263023,Port of LA,91,42.0,89,0.0363
105,4220,Park & Echo Park,34.074829,-118.258728,DTLA,85,61.0,56,0.022
106,3057,18th & Figueroa,34.035678999999995,-118.27081299999999,DTLA,95,100.0,78,0.0194
107,4331,Venice & Colonial,34.00351,-118.43438,Westside,91,50.0,88,0.0052
108,4304,Shatto Pl & Wilshire,34.06258,-118.29009199999999,DTLA,96,80.0,73,0.0234
109,3045,18th & San Pedro,34.028511,-118.25666799999999,DTLA,86,87.0,77,0.0287
110,4356,CicLAvia Downtown Culver City Hub,34.027771,-118.38726000000001,Westside,87,70.0,69,0.0526
111,4341,7th & Westminster,33.9953,-118.464844,Westside,95,57.66197183098591,96,0.0315
112,4343,California & Lincoln,33.998321999999995,-118.46098300000001,Westside,81,55.0,40,0.0268
113,4132,Fanfare Fountain,33.74913,-118.28018200000001,Port of LA,57,46.0,52,0.0051
114,4323,Venice & Beethoven,33.99958,-118.44136,Westside,84,51.0,82,0.0102
115,4324,Palms & Motor,34.02655,-118.40846299999998,Westside,91,62.0,87,0.0331
116,4340,17th St / SMC Expo Line Station,34.023379999999996,-118.47963700000001,Westside,94,81.0,88,0.0459
117,4300,Union & Olympic,34.04887,-118.2743,DTLA,93,87.0,78,0.0087
118,4126,Cabrillo Beach,33.710978999999995,-118.284668,Port of LA,48,27.0,62,0.036
119,4329,Palms & National,34.029121,-118.403168,Westside,90,62.0,75,0.039
120,4374,Public Bike Rack: Westwood/Rancho Park Expo Line South,34.036621000000004,-118.425308,Westside,75,66.0,78,0.0302
121,4306,8th & Vermont,34.057652000000004,-118.29218300000001,DTLA,96,80.0,69,0.0243
122,4125,Banning's Landing,33.766659000000004,-118.261017,Port of LA,24,29.0,57,0.0257
123,4336,Barrington & National,34.022449,-118.438332,Westside,80,51.0,75,0.0142
124,4342,Abbot Kinney & Cadiz,33.991161,-118.46829199999999,Westside,94,57.66197183098591,99,0.0364
125,3020,Hill & Washington,34.031052,-118.26709,DTLA,88,88.0,61,0.0238
