,station_id,weekend,rain,temp_class,North Hollywood,Port of LA,DTLA,total_trip,stat_name,lat,long,walk_score,transit_score,bike_score,dregioncenter,trip_log
42,3011,0,0,0.0,0,0,1,84,Figueroa & Pico,34.041129999999995,-118.267982,85,100.0,85,0.0137,1.9242792860618816
43,3011,0,0,1.0,0,0,1,231,Figueroa & Pico,34.041129999999995,-118.267982,85,100.0,85,0.0137,2.3636119798921444
44,3011,0,0,2.0,0,0,1,91,Figueroa & Pico,34.041129999999995,-118.267982,85,100.0,85,0.0137,1.9590413923210936
45,3011,0,1,0.0,0,0,1,6,Figueroa & Pico,34.041129999999995,-118.267982,85,100.0,85,0.0137,0.7781512503836436
46,3011,1,0,0.0,0,0,1,32,Figueroa & Pico,34.041129999999995,-118.267982,85,100.0,85,0.0137,1.505149978319906
47,3011,1,0,1.0,0,0,1,129,Figueroa & Pico,34.041129999999995,-118.267982,85,100.0,85,0.0137,2.110589710299249
48,3011,1,0,2.0,0,0,1,41,Figueroa & Pico,34.041129999999995,-118.267982,85,100.0,85,0.0137,1.6127838567197355
49,3011,1,1,0.0,0,0,1,1,Figueroa & Pico,34.041129999999995,-118.267982,85,100.0,85,0.0137,0.0
50,3013,0,0,0.0,0,1,0,4,Anaheim & Avalon,33.779819,-118.263023,91,42.0,89,0.0363,0.6020599913279624
51,3013,0,0,1.0,0,1,0,11,Anaheim & Avalon,33.779819,-118.263023,91,42.0,89,0.0363,1.0413926851582251
52,3013,0,0,2.0,0,1,0,1,Anaheim & Avalon,33.779819,-118.263023,91,42.0,89,0.0363,0.0
53,3013,1,0,0.0,0,1,0,2,Anaheim & Avalon,33.779819,-118.263023,91,42.0,89,0.0363,0.3010299956639812
54,3013,1,0,1.0,0,1,0,17,Anaheim & Avalon,33.779819,-118.263023,91,42.0,89,0.0363,1.2304489213782739
55,3013,1,0,2.0,0,1,0,2,Anaheim & Avalon,33.779819,-118.263023,91,42.0,89,0.0363,0.3010299956639812
56,3014,0,0,0.0,0,0,1,499,Union Station West Portal,34.05661,-118.23721299999998,92,100.0,76,0.0308,2.6981005456233897
57,3014,0,0,1.0,0,0,1,1740,Union Station West Portal,34.05661,-118.23721299999998,92,100.0,76,0.0308,3.2405492482826
