,region,lat,long
0,DTLA,34.054855016528926,-118.26800028099173
1,Port of LA,33.74596138461538,-118.27620399999999
2,Westside,34.008418878378386,-118.43619512162164
3,North Hollywood,34.16193255555555,-118.37193672222222
